HTN,normal,cluster,sum
3264,322,0,0.216663646
81,1874,1,0.118119751
826,1006,2,0.110688176
929,253,3,0.071415624
245,927,4,0.070811431
459,689,5,0.069361368
656,470,6,0.068032143
98,822,7,0.055585765
556,69,8,0.037762069
357,196,9,0.033411878
207,255,10,0.027913721
237,164,11,0.024228143
306,88,12,0.023805208
266,73,13,0.020482146
95,219,14,0.018971663
220,25,15,0.014802731
36,58,16,0.005679415
28,56,17,0.005075222
42,28,18,0.004229352
12,37,19,0.002960546
